seq,state,step,potRaw,dutyPct,vbusRaw,iaRaw,ibRaw,ibusRaw,duty,timerPeriod,eRpm,erpmNow,captures,piRuns,iaPkMax,iaPkMin,ibPkMax,ibPkMin,iaAtFaultMax,iaAtFaultMin,ibAtFaultMax,ibAtFaultMin,iaAtFaultInst,ibAtFaultInst,faultValid,t
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050704516004770994
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10137839399976656
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20179604896111414
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30221491697011515
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4026942490017973
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5032817120081745
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6040035570040345
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7044183469843119
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8049848409718834
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9055136849638075
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.005949864978902
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1064071739674546
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2070329079870135
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2574753829976544
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3580219490104355
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4586497659911402
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5590494369971566
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6594663899741136
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7599650759948418
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8604621489648707
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.960821204003878
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.061381564999465
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1617939290008508
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.262438506993931
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3629021059605293
25,3,0,0,0,29104,-112,-160,112,0,0,0,0,0,0,0,-32768,15536,-29984,0,0,0,0,0,0,0,2.4635767900035717
26,3,0,0,0,29104,-144,-112,144,0,0,0,0,0,0,-32,-352,0,-304,0,0,0,0,0,0,0,2.564203765010461
27,3,1,0,0,29088,-176,-96,272,0,0,500,0,0,0,-48,-336,0,-288,0,0,0,0,0,0,0,2.6649784870096482
28,3,5,0,0,29088,-144,-112,144,0,0,500,0,0,0,-32,-336,-32,-336,0,0,0,0,0,0,0,2.765692073968239
29,3,4,0,0,29088,-160,-128,128,0,0,500,0,0,0,-48,-336,-16,-320,0,0,0,0,0,0,0,2.8667304089758545
30,3,5,0,0,28896,-9568,-256,9568,0,0,1000,0,0,0,7520,-11104,2144,-9568,0,0,0,0,0,0,0,2.967238201003056
31,3,1,0,0,28560,48,24144,24192,0,0,1000,0,0,0,17664,-22736,24576,-20416,0,0,0,0,0,0,0,3.0676569860079326
32,3,5,0,0,28320,-32736,-208,32736,0,0,1000,0,0,0,32752,-32768,32752,-32752,0,0,0,0,0,0,0,3.168388044985477
33,3,5,16,0,28304,-32736,-656,32736,0,0,1500,0,0,0,32752,-32768,32752,-32752,0,0,0,0,0,0,0,3.269103834987618
34,3,0,0,0,28288,-32720,32736,32720,0,0,1000,0,0,0,32752,-32768,32752,-32752,0,0,0,0,0,0,0,3.3697420000098646
35,3,4,0,0,28464,-560,-25568,25568,0,0,1500,0,0,0,32752,-32768,32752,-32752,0,0,0,0,0,0,0,3.4704463289817795
36,3,3,0,0,28400,27568,-27728,27728,0,0,1500,0,0,0,32752,-32768,32752,-32752,0,0,0,0,0,0,0,3.5710103049641475
37,3,1,0,0,28352,-144,28560,28416,0,0,2500,0,0,0,32752,-32768,32752,-32752,0,0,0,0,0,0,0,3.67171193897957
