time_s,state,state_name,fault,fault_name,currentStep,direction,throttle,dutyPct,vbusRaw,vbus_V,ibusRaw,ibus_A,ibusMax,ibusMax_A,bemfRaw,zcThreshold,stepPeriod,eRPM,goodZcCount,risingZcWorks,fallingZcWorks,zcSynced,zcConfirmedCount,zcTimeoutForceCount,hwzcEnabled,hwzcPhase,hwzcTotalZcCount,hwzcTotalMissCount,hwzcStepPeriodHR,hwzcNoiseReject,clpciTripCount,fpciTripCount,systemTick,uptimeSec,iaRaw,ibRaw,iaMax,iaMin,ibMax,ibMin,ia_A,ib_A,iaPkPos_A,iaPkNeg_A,ibPkPos_A,ibPkNeg_A,iaPkMag_A,ibPkMag_A,iaAtFault_A,ibAtFault_A,iaPkAtFault_A,ibPkAtFault_A,iaPkPosAtFault_A,iaPkNegAtFault_A,ibusPkPos_A,ibusPkNeg_A,ibusPkMag_A,ibusAtFault_A,ibusPkPosAtFault_A,ibusPkNegAtFault_A,ibusPkAtFault_A
0.042,6,CL,0,NONE,1,0,78,8,1311,24.51,2013,-0.38,2036,-0.13,53,52,80,17417,4,1,1,1,4,0,1,2,3733,0,57415,61924,0,0,15443,15,2108,2148,4095,404,2148,2148,+0.6,+1.1,+22.0,-17.7,+1.1,+1.1,22.0,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.1,+0.0,0.1,+0.0,+0.0,+0.0,0.0
0.066,6,CL,0,NONE,5,0,42,8,1313,24.55,2014,-0.37,2036,-0.13,82,52,80,17454,4,1,1,1,4,0,1,2,3767,0,57293,62491,0,0,15463,15,2105,2148,2270,2029,2148,2148,+0.6,+1.1,+2.4,-0.2,+1.1,+1.1,2.4,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
0.089,6,CL,0,NONE,3,0,43,8,1314,24.57,2018,-0.32,2036,-0.13,102,52,80,17579,4,1,1,1,4,0,1,2,3801,0,56883,63034,0,0,15483,15,2173,2148,2270,2025,2148,2148,+1.3,+1.1,+2.4,-0.2,+1.1,+1.1,2.4,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
0.113,6,CL,0,NONE,0,0,42,8,1315,24.59,2016,-0.34,2036,-0.13,48,52,80,17404,4,1,1,1,4,0,1,3,3835,0,57455,63569,0,0,15503,15,2144,2148,2273,2019,2148,2148,+1.0,+1.1,+2.4,-0.3,+1.1,+1.1,2.4,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.4,0.4,+0.0,+0.0,+0.0,0.0
0.136,6,CL,0,NONE,4,0,36,8,1318,24.64,2011,-0.40,2036,-0.13,25,52,80,17554,4,1,1,1,4,0,1,3,3869,0,56966,64127,0,0,15523,15,2115,2148,2280,2021,2148,2148,+0.7,+1.1,+2.5,-0.3,+1.1,+1.1,2.5,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
0.161,6,CL,0,NONE,5,0,41,8,1313,24.55,2009,-0.42,2036,-0.13,29,52,80,16236,4,1,1,1,4,0,1,3,3936,0,61588,65246,0,0,15563,15,2141,2148,2276,2020,2148,2148,+1.0,+1.1,+2.5,-0.3,+1.1,+1.1,2.5,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
0.184,6,CL,0,NONE,3,0,44,8,1313,24.55,2014,-0.37,2036,-0.13,57,52,80,17755,4,1,1,1,4,0,1,2,3969,0,56320,65790,0,0,15583,15,2094,2148,2269,2026,2148,2148,+0.5,+1.1,+2.4,-0.2,+1.1,+1.1,2.4,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
0.208,6,CL,0,NONE,1,0,41,8,1314,24.57,2019,-0.31,2036,-0.13,85,52,80,17472,4,1,1,1,4,0,1,2,4003,0,57234,66343,0,0,15603,15,2108,2148,2285,2024,2148,2148,+0.6,+1.1,+2.5,-0.3,+1.1,+1.1,2.5,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
0.231,6,CL,0,NONE,5,0,51,8,1312,24.53,2012,-0.39,2036,-0.13,97,52,80,17459,4,1,1,1,4,0,1,1,4037,0,57274,66922,0,0,15623,15,2110,2148,2268,2022,2148,2148,+0.7,+1.1,+2.4,-0.3,+1.1,+1.1,2.4,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
0.255,6,CL,0,NONE,2,0,43,8,1313,24.55,2016,-0.34,2036,-0.13,55,52,80,17377,4,1,1,1,4,0,1,3,4071,0,57546,67423,0,0,15643,15,2055,2148,2271,2034,2148,2148,+0.1,+1.1,+2.4,-0.2,+1.1,+1.1,2.4,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
0.279,6,CL,0,NONE,3,0,41,8,1313,24.55,2024,-0.26,2036,-0.13,9,52,80,16223,4,1,1,1,4,0,1,3,4138,0,61639,68495,0,0,15683,15,2181,2148,2260,2011,2148,2148,+1.4,+1.1,+2.3,-0.4,+1.1,+1.1,2.3,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
0.303,6,CL,0,NONE,1,0,43,8,1312,24.53,2013,-0.38,2036,-0.13,36,52,80,16661,4,1,1,1,4,0,1,3,4172,0,60019,69042,0,0,15703,15,2108,2148,2263,2020,2148,2148,+0.6,+1.1,+2.3,-0.3,+1.1,+1.1,2.3,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
0.326,6,CL,0,NONE,5,0,42,8,1315,24.59,2007,-0.44,2036,-0.13,59,52,80,17331,4,1,1,1,4,0,1,2,4205,0,57698,69581,0,0,15723,15,2123,2148,2280,2026,2148,2148,+0.8,+1.1,+2.5,-0.2,+1.1,+1.1,2.5,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
0.350,6,CL,0,NONE,3,0,45,8,1315,24.59,2014,-0.37,2036,-0.13,87,52,80,17590,4,1,1,1,4,0,1,2,4239,0,56849,70118,0,0,15743,15,2142,2148,2260,2006,2148,2148,+1.0,+1.1,+2.3,-0.5,+1.1,+1.1,2.3,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
0.373,6,CL,0,NONE,0,0,38,8,1315,24.59,2014,-0.37,2036,-0.13,74,52,80,17431,4,1,1,1,4,0,1,3,4273,0,57368,70698,0,0,15763,15,2125,2148,2265,2016,2148,2148,+0.8,+1.1,+2.3,-0.3,+1.1,+1.1,2.3,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
0.398,6,CL,0,NONE,2,0,43,8,1313,24.55,2008,-0.43,2036,-0.13,22,52,80,16437,4,1,1,1,4,0,1,2,4340,0,60837,71782,0,0,15803,15,2110,2148,2270,2017,2148,2148,+0.7,+1.1,+2.4,-0.3,+1.1,+1.1,2.4,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
0.421,6,CL,0,NONE,5,0,41,8,1312,24.53,2024,-0.26,2036,-0.13,8,52,80,16095,4,1,1,1,4,0,1,3,4374,0,62128,72319,0,0,15823,15,2092,2148,2287,2021,2148,2148,+0.5,+1.1,+2.6,-0.3,+1.1,+1.1,2.6,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
0.444,6,CL,0,NONE,3,0,42,8,1313,24.55,2014,-0.37,2036,-0.13,39,52,80,16216,4,1,1,1,4,0,1,3,4408,0,61664,72874,0,0,15843,15,2077,2148,2271,2021,2148,2148,+0.3,+1.1,+2.4,-0.3,+1.1,+1.1,2.4,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
0.468,6,CL,0,NONE,1,0,42,8,1312,24.53,2011,-0.40,2036,-0.13,66,52,80,17486,4,1,1,1,4,0,1,2,4441,0,57188,73423,0,0,15863,15,2107,2148,2282,2023,2148,2148,+0.6,+1.1,+2.5,-0.3,+1.1,+1.1,2.5,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
0.491,6,CL,0,NONE,5,0,45,8,1311,24.51,2012,-0.39,2036,-0.13,94,52,80,17635,4,1,1,1,4,0,1,2,4475,0,56705,73956,0,0,15883,15,2074,2148,2272,2013,2148,2148,+0.3,+1.1,+2.4,-0.4,+1.1,+1.1,2.4,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
0.516,6,CL,0,NONE,0,0,44,8,1309,24.47,2015,-0.36,2036,-0.13,42,52,80,17562,4,1,1,1,4,0,1,3,4543,0,56939,75091,0,0,15923,15,2144,2148,2275,2012,2148,2148,+1.0,+1.1,+2.4,-0.4,+1.1,+1.1,2.4,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
0.539,6,CL,0,NONE,4,0,43,8,1317,24.62,2011,-0.40,2036,-0.13,15,52,80,16587,4,1,1,1,4,0,1,2,4576,0,60286,75625,0,0,15943,15,2106,2148,2256,2029,2148,2148,+0.6,+1.1,+2.2,-0.2,+1.1,+1.1,2.2,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
0.563,6,CL,0,NONE,1,0,51,8,1314,24.57,2020,-0.30,2036,-0.13,13,52,80,16197,4,1,1,1,4,0,1,3,4610,0,61739,76166,0,0,15963,15,2100,2148,2268,2014,2148,2148,+0.6,+1.1,+2.4,-0.4,+1.1,+1.1,2.4,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
0.586,6,CL,0,NONE,5,0,34,8,1314,24.57,2013,-0.38,2036,-0.13,37,52,80,16192,4,1,1,1,4,0,1,3,4644,0,61756,76737,0,0,15983,15,2146,2148,2283,2025,2148,2148,+1.1,+1.1,+2.5,-0.2,+1.1,+1.1,2.5,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
0.610,6,CL,0,NONE,3,0,42,8,1314,24.57,2007,-0.44,2036,-0.13,68,52,80,17580,4,1,1,1,4,0,1,2,4677,0,56880,77274,0,0,16003,16,2108,2148,2267,2032,2148,2148,+0.6,+1.1,+2.4,-0.2,+1.1,+1.1,2.4,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
0.633,6,CL,0,NONE,1,0,42,8,1313,24.55,2013,-0.38,2036,-0.13,91,52,80,17413,4,1,1,1,4,0,1,2,4711,0,57428,77837,0,0,16023,16,2105,2148,2264,2034,2148,2148,+0.6,+1.1,+2.3,-0.2,+1.1,+1.1,2.3,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
0.658,6,CL,0,NONE,2,0,45,8,1314,24.57,2014,-0.37,2036,-0.13,48,52,80,17484,4,1,1,1,4,0,1,3,4779,0,57192,78921,0,0,16063,16,2084,2148,2279,2019,2148,2148,+0.4,+1.1,+2.5,-0.3,+1.1,+1.1,2.5,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.4,0.4,+0.0,+0.0,+0.0,0.0
0.681,6,CL,0,NONE,0,0,45,8,1315,24.59,2018,-0.32,2036,-0.13,87,52,80,16265,4,1,1,1,4,0,1,1,4812,0,61479,79464,0,0,16083,16,2099,2148,2267,2015,2148,2148,+0.5,+1.1,+2.4,-0.4,+1.1,+1.1,2.4,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
0.705,6,CL,0,NONE,3,0,40,8,1313,24.55,2023,-0.27,2036,-0.13,18,52,80,16265,4,1,1,1,4,0,1,3,4846,0,61478,80016,0,0,16103,16,2125,2148,2275,2019,2148,2148,+0.8,+1.1,+2.4,-0.3,+1.1,+1.1,2.4,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
0.728,6,CL,0,NONE,1,0,42,8,1312,24.53,2014,-0.37,2036,-0.13,46,52,80,17711,4,1,1,1,4,0,1,2,4879,0,56462,80585,0,0,16123,16,2105,2148,2284,2021,2148,2148,+0.6,+1.1,+2.5,-0.3,+1.1,+1.1,2.5,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
0.752,6,CL,0,NONE,5,0,45,8,1313,24.55,2011,-0.40,2036,-0.13,68,52,80,17642,4,1,1,1,4,0,1,2,4913,0,56680,81114,0,0,16143,16,2107,2148,2274,2028,2148,2148,+0.6,+1.1,+2.4,-0.2,+1.1,+1.1,2.4,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
0.776,6,CL,0,NONE,0,0,41,8,1313,24.55,2012,-0.39,2036,-0.13,63,52,80,17573,4,1,1,1,4,0,1,3,4981,0,56905,82237,0,0,16183,16,2134,2148,2269,2012,2148,2148,+0.9,+1.1,+2.4,-0.4,+1.1,+1.1,2.4,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
0.800,6,CL,0,NONE,4,0,42,8,1311,24.51,2009,-0.42,2036,-0.13,31,52,80,17589,4,1,1,1,4,0,1,3,5015,0,56852,82801,0,0,16203,16,2105,2148,2279,2013,2148,2148,+0.6,+1.1,+2.5,-0.4,+1.1,+1.1,2.5,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
0.823,6,CL,0,NONE,1,0,41,8,1315,24.59,2022,-0.28,2036,-0.13,0,52,80,16260,4,1,1,1,4,0,1,1,5048,0,61499,83348,0,0,16223,16,2057,2148,2291,2021,2148,2148,+0.1,+1.1,+2.6,-0.3,+1.1,+1.1,2.6,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
0.847,6,CL,0,NONE,5,0,43,8,1317,24.62,2014,-0.37,2036,-0.13,17,52,80,16242,4,1,1,1,4,0,1,3,5082,0,61566,83900,0,0,16243,16,2119,2148,2276,2023,2148,2148,+0.8,+1.1,+2.5,-0.3,+1.1,+1.1,2.5,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
0.870,6,CL,0,NONE,3,0,42,8,1315,24.59,2012,-0.39,2036,-0.13,48,52,80,17624,4,1,1,1,4,0,1,2,5115,0,56740,84463,0,0,16263,16,2086,2148,2289,2018,2148,2148,+0.4,+1.1,+2.6,-0.3,+1.1,+1.1,2.6,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
0.895,6,CL,0,NONE,5,0,42,8,1314,24.57,2006,-0.45,2036,-0.13,95,52,80,17593,4,1,1,1,4,0,1,2,5183,0,56839,85581,0,0,16303,16,2060,2148,2292,2020,2148,2148,+0.1,+1.1,+2.6,-0.3,+1.1,+1.1,2.6,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
0.918,6,CL,0,NONE,2,0,42,8,1315,24.59,2012,-0.39,2036,-0.13,66,52,80,17525,4,1,1,1,4,0,1,3,5217,0,57059,86149,0,0,16323,16,2076,2148,2268,2021,2148,2148,+0.3,+1.1,+2.4,-0.3,+1.1,+1.1,2.4,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
0.942,6,CL,0,NONE,0,0,42,8,1315,24.59,2013,-0.38,2036,-0.13,35,52,80,17403,4,1,1,1,4,0,1,3,5251,0,57459,86736,0,0,16343,16,2131,2148,2270,2018,2148,2148,+0.9,+1.1,+2.4,-0.3,+1.1,+1.1,2.4,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
0.965,6,CL,0,NONE,3,0,38,8,1312,24.53,2026,-0.24,2036,-0.13,0,52,80,15994,4,1,1,1,4,0,1,3,5284,0,62523,87252,0,0,16363,16,2229,2148,2267,2024,2148,2148,+1.9,+1.1,+2.4,-0.3,+1.1,+1.1,2.4,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
0.989,6,CL,0,NONE,1,0,46,8,1312,24.53,2012,-0.39,2036,-0.13,24,52,80,16174,4,1,1,1,4,0,1,3,5318,0,61824,87806,0,0,16383,16,2105,2148,2282,2024,2148,2148,+0.6,+1.1,+2.5,-0.3,+1.1,+1.1,2.5,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
1.013,6,CL,0,NONE,3,0,43,8,1313,24.55,2007,-0.44,2036,-0.13,79,52,80,17540,4,1,1,1,4,0,1,2,5385,0,57011,88966,0,0,16423,16,2132,2148,2269,2031,2148,2148,+0.9,+1.1,+2.4,-0.2,+1.1,+1.1,2.4,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
1.037,6,CL,0,NONE,1,0,43,8,1311,24.51,2019,-0.31,2036,-0.13,80,52,80,17316,4,1,1,1,4,0,1,1,5419,0,57749,89503,0,0,16443,16,2105,2148,2267,2028,2148,2148,+0.6,+1.1,+2.4,-0.2,+1.1,+1.1,2.4,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
1.060,6,CL,0,NONE,4,0,42,8,1314,24.57,2011,-0.40,2036,-0.13,54,52,80,17424,4,1,1,1,4,0,1,3,5453,0,57391,90038,0,0,16463,16,2112,2148,2273,2023,2148,2148,+0.7,+1.1,+2.4,-0.3,+1.1,+1.1,2.4,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
1.083,6,CL,0,NONE,2,0,41,8,1317,24.62,2017,-0.33,2036,-0.13,31,52,80,17558,4,1,1,1,4,0,1,3,5487,0,56954,90616,0,0,16483,16,2106,2148,2285,2019,2148,2148,+0.6,+1.1,+2.5,-0.3,+1.1,+1.1,2.5,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
1.107,6,CL,0,NONE,5,0,43,8,1313,24.55,2024,-0.26,2036,-0.13,3,52,80,16094,4,1,1,1,4,0,1,3,5520,0,62133,91136,0,0,16503,16,2087,2148,2269,2020,2148,2148,+0.4,+1.1,+2.4,-0.3,+1.1,+1.1,2.4,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
1.131,6,CL,0,NONE,3,0,39,8,1311,24.51,2016,-0.34,2036,-0.13,33,52,80,16011,4,1,1,1,4,0,1,3,5554,0,62457,91689,0,0,16523,16,2089,2148,2262,2023,2148,2148,+0.4,+1.1,+2.3,-0.3,+1.1,+1.1,2.3,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
1.155,6,CL,0,NONE,5,0,41,8,1314,24.57,2013,-0.38,2036,-0.13,83,52,80,17429,4,1,1,1,4,0,1,2,5621,0,57375,92829,0,0,16563,16,2092,2148,2287,2026,2148,2148,+0.5,+1.1,+2.6,-0.2,+1.1,+1.1,2.6,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
1.178,6,CL,0,NONE,3,0,41,8,1315,24.59,2016,-0.34,2036,-0.13,0,52,80,17555,4,1,1,1,4,0,1,1,5655,0,56961,93414,0,0,16583,16,2098,2148,2282,2020,2148,2148,+0.5,+1.1,+2.5,-0.3,+1.1,+1.1,2.5,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
1.202,6,CL,0,NONE,0,0,43,8,1313,24.55,2016,-0.34,2036,-0.13,50,52,80,17636,4,1,1,1,4,0,1,3,5689,0,56699,93964,0,0,16603,16,2150,2148,2268,2013,2148,2148,+1.1,+1.1,+2.4,-0.4,+1.1,+1.1,2.4,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
1.225,6,CL,0,NONE,4,0,44,8,1314,24.57,2014,-0.37,2036,-0.13,21,52,80,16295,4,1,1,1,4,0,1,2,5722,0,61365,94519,0,0,16623,16,2107,2148,2283,2025,2148,2148,+0.6,+1.1,+2.5,-0.2,+1.1,+1.1,2.5,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
1.249,6,CL,0,NONE,1,0,42,8,1314,24.57,2021,-0.29,2036,-0.13,7,52,80,16287,4,1,1,1,4,0,1,3,5756,0,61398,95042,0,0,16643,16,2088,2148,2276,2022,2148,2148,+0.4,+1.1,+2.5,-0.3,+1.1,+1.1,2.5,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
1.274,6,CL,0,NONE,3,0,43,8,1312,24.53,2017,-0.33,2036,-0.13,64,52,80,17577,4,1,1,1,4,0,1,2,5823,0,56891,96159,0,0,16683,16,2109,2148,2272,2022,2148,2148,+0.7,+1.1,+2.4,-0.3,+1.1,+1.1,2.4,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
1.297,6,CL,0,NONE,1,0,43,8,1313,24.55,2013,-0.38,2036,-0.13,88,52,80,17325,4,1,1,1,4,0,1,2,5857,0,57719,96702,0,0,16703,16,2115,2148,2278,2014,2148,2148,+0.7,+1.1,+2.5,-0.4,+1.1,+1.1,2.5,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.2,-0.5,0.5,+0.0,+0.0,+0.0,0.0
