timestamp_ms,elapsed_s,raw_line,state,pot,vbus,duty,step,tp,zc_count,synced,missed,bemf_a,bemf_b,bemf_c,dc1,io1,io2,io3,ic_accepted,ic_lcout_accepted,ic_false,ic_captures,ic_chatter,tp_hr,zc_interval,zc_interval_hr,prev_zc_interval,ic_phase,forced_steps,erpm,duty_pct_x10,fault_code,d_ic_accepted,d_ic_lcout_accepted,d_ic_false,d_ic_captures,d_ic_chatter,ic_accept_rate,ic_false_rate
1773730317056,0.407,S:CL P:0 V:14288 D:999 St:0 Tp:677 ZC:3 --- Miss:0 B:100 DC1:999 IO:0000/3400/3000 FP:43051/BK:2/3 Cyc:51768 TpHR:18246 ZcI:417 ZcIHR:32562 PZcI:560 Ph:0 FL:8 Frc:2 eRPM:856 D%:99,CL,0,14288,999,0,677,3,0,0,1,0,0,999,0,13312,12288,,,,,,18246,417,32562,560,,2,856,99,,0,0,0,0,0,,
1773730317100,0.451,S:CL P:0 V:14304 D:999 St:4 Tp:740 ZC:2 --- Miss:0 B:100 DC1:999 IO:3000/0000/3400 FP:43053/BK:2/3 Cyc:58295 TpHR:18246 ZcI:560 ZcIHR:43797 PZcI:1808 Ph:0 FL:8 Frc:1 eRPM:856 D%:99,CL,0,14304,999,4,740,2,0,0,1,0,0,999,12288,0,13312,,,,,,18246,560,43797,1808,,1,856,99,,0,0,0,0,0,,
1773730317200,0.551,S:CL P:0 V:14320 D:999 St:3 Tp:800 ZC:0 --- Miss:3 B:100 DC1:999 IO:3400/0000/3000 FP:43055/BK:2/3 Cyc:826 TpHR:18246 ZcI:1808 ZcIHR:32562 PZcI:417 Ph:2 FL:8 Frc:0 eRPM:856 D%:99,CL,0,14320,999,3,800,0,0,3,1,0,0,999,13312,0,12288,,,,,,18246,1808,32562,417,,0,856,99,,0,0,0,0,0,,
1773730317299,0.65,S:CL P:0 V:14320 D:999 St:1 Tp:761 ZC:1 --- Miss:1 B:100 DC1:999 IO:3000/3400/0000 FP:43057/BK:2/3 Cyc:6132 TpHR:18246 ZcI:417 ZcIHR:32562 PZcI:560 Ph:1 FL:8 Frc:3 eRPM:856 D%:99,CL,0,14320,999,1,761,1,0,1,1,0,0,999,12288,13312,0,,,,,,18246,417,32562,560,,3,856,99,,0,0,0,0,0,,
1773730317399,0.75,S:CL P:0 V:14288 D:999 St:5 Tp:677 ZC:3 --- Miss:0 B:100 DC1:999 IO:0000/3400/3000 FP:43060/BK:2/3 Cyc:11082 TpHR:18246 ZcI:417 ZcIHR:32562 PZcI:560 Ph:1 FL:8 Frc:1 eRPM:856 D%:99,CL,0,14288,999,5,677,3,0,0,1,0,0,999,0,13312,12288,,,,,,18246,417,32562,560,,1,856,99,,0,0,0,0,0,,
1773730317499,0.85,S:CL P:0 V:14304 D:999 St:3 Tp:800 ZC:1 --- Miss:0 B:100 DC1:999 IO:3000/0000/3400 FP:43061/BK:2/3 Cyc:19087 TpHR:18246 ZcI:1808 ZcIHR:32562 PZcI:1808 Ph:2 FL:8 Frc:0 eRPM:856 D%:99,CL,0,14304,999,3,800,1,0,0,1,0,0,999,12288,0,13312,,,,,,18246,1808,32562,1808,,0,856,99,,0,0,0,0,0,,
1773730317598,0.949,S:CL P:0 V:14304 D:999 St:2 Tp:800 ZC:0 --- Miss:2 B:100 DC1:999 IO:3400/3000/0000 FP:43063/BK:2/3 Cyc:26032 TpHR:18246 ZcI:417 ZcIHR:32563 PZcI:560 Ph:1 FL:8 Frc:3 eRPM:856 D%:99,CL,0,14304,999,2,800,0,0,2,1,0,0,999,13312,12288,0,,,,,,18246,417,32563,560,,3,856,99,,0,0,0,0,0,,
1773730317698,1.049,S:CL P:0 V:14288 D:999 St:0 Tp:677 ZC:3 --- Miss:0 B:100 DC1:999 IO:0000/3400/3000 FP:43066/BK:2/3 Cyc:30982 TpHR:18246 ZcI:417 ZcIHR:32563 PZcI:560 Ph:1 FL:8 Frc:2 eRPM:856 D%:99,CL,0,14288,999,0,677,3,0,0,1,0,0,999,0,13312,12288,,,,,,18246,417,32563,560,,2,856,99,,0,0,0,0,0,,
1773730317797,1.148,S:CL P:0 V:14304 D:999 St:4 Tp:740 ZC:2 --- Miss:0 B:100 DC1:999 IO:3000/0000/3400 FP:43068/BK:2/3 Cyc:37145 TpHR:18246 ZcI:560 ZcIHR:32563 PZcI:560 Ph:2 FL:8 Frc:0 eRPM:856 D%:99,CL,0,14304,999,4,740,2,0,0,1,0,0,999,12288,0,13312,,,,,,18246,560,32563,560,,0,856,99,,0,0,0,0,0,,
1773730317897,1.248,S:CL P:0 V:14320 D:999 St:3 Tp:800 ZC:1 --- Miss:0 B:100 DC1:999 IO:3400/0000/3000 FP:43070/BK:2/3 Cyc:45201 TpHR:18246 ZcI:1808 ZcIHR:32563 PZcI:417 Ph:2 FL:8 Frc:0 eRPM:856 D%:99,CL,0,14320,999,3,800,1,0,0,1,0,0,999,13312,0,12288,,,,,,18246,1808,32563,417,,0,856,99,,0,0,0,0,0,,
