timestamp_ms,elapsed_s,raw_line,state,pot,vbus,duty,step,tp,zc_count,synced,missed,bemf_a,bemf_b,bemf_c,dc1,io1,io2,io3,ic_accepted,ic_lcout_accepted,ic_false,ic_captures,ic_chatter,tp_hr,zc_interval,zc_interval_hr,prev_zc_interval,ic_phase,ic_filter_level,forced_steps,erpm,duty_pct_x10,fault_code,d_ic_accepted,d_ic_lcout_accepted,d_ic_false,d_ic_captures,d_ic_chatter,ic_accept_rate,ic_false_rate
1773740936818,0.743,S:CL P:15056 V:14096 D:2852 St:1 Tp:6 ZC:26168 SYN Miss:0 B:001 DC1:2852 IO:0000/3400/0000,CL,15056,14096,2852,1,6,26168,1,0,0,0,1,2852,0,13312,0,,,,,,,,,,,,,,,,0,0,0,0,0,,
1773740937314,1.24,S:CL P:15136 V:14080 D:2854 St:1 Tp:6 ZC:27422 SYN Miss:0 B:001 DC1:2852 IO:0000/3400/0000,CL,15136,14080,2854,1,6,27422,1,0,0,0,1,2852,0,13312,0,,,,,,,,,,,,,,,,0,0,0,0,0,,
1773740937812,1.738,S:CL P:15056 V:14096 D:2852 St:2 Tp:6 ZC:28677 SYN Miss:0 B:110 DC1:2852 IO:0000/3400/0000,CL,15056,14096,2852,2,6,28677,1,0,1,1,0,2852,0,13312,0,,,,,,,,,,,,,,,,0,0,0,0,0,,
1773740938310,2.236,S:CL P:15056 V:14096 D:2856 St:4 Tp:6 ZC:29934 SYN Miss:0 B:110 DC1:2854 IO:3400/0000/3400,CL,15056,14096,2856,4,6,29934,1,0,1,1,0,2854,13312,0,13312,,,,,,,,,,,,,,,,0,0,0,0,0,,
1773740938808,2.734,S:CL P:16448 V:14096 D:3051 St:2 Tp:6 ZC:31197 SYN Miss:0 B:001 DC1:3063 IO:0000/3400/0000,CL,16448,14096,3051,2,6,31197,1,0,0,0,1,3063,0,13312,0,,,,,,,,,,,,,,,,0,0,0,0,0,,
1773740939306,3.232,S:CL P:18064 V:14032 D:3279 St:3 Tp:6 ZC:32573 SYN Miss:0 B:110 DC1:3276 IO:3400/0000/3400,CL,18064,14032,3279,3,6,32573,1,0,1,1,0,3276,13312,0,13312,,,,,,,,,,,,,,,,0,0,0,0,0,,
1773740939803,3.729,S:CL P:18992 V:14032 D:3415 St:0 Tp:6 ZC:34004 SYN Miss:0 B:001 DC1:3413 IO:0000/3400/0000,CL,18992,14032,3415,0,6,34004,1,0,0,0,1,3413,0,13312,0,,,,,,,,,,,,,,,,0,0,0,0,0,,
1773740940301,4.227,S:CL P:19296 V:13968 D:3453 St:5 Tp:6 ZC:35467 SYN Miss:0 B:000 DC1:3451 IO:0000/3400/0000,CL,19296,13968,3453,5,6,35467,1,0,0,0,0,3451,0,13312,0,,,,,,,,,,,,,,,,0,0,0,0,0,,
1773740940799,4.725,S:CL P:19904 V:14000 D:3540 St:4 Tp:6 ZC:36947 SYN Miss:0 B:100 DC1:3542 IO:3400/3000/3000,CL,19904,14000,3540,4,6,36947,1,0,1,0,0,3542,13312,12288,12288,,,,,,,,,,,,,,,,0,0,0,0,0,,
1773740941297,5.223,S:CL P:20464 V:13968 D:3619 St:1 Tp:6 ZC:38463 SYN Miss:0 B:000 DC1:3621 IO:3000/0000/3400,CL,20464,13968,3619,1,6,38463,1,0,0,0,0,3621,12288,0,13312,,,,,,,,,,,,,,,,0,0,0,0,0,,
1773740941795,5.72,S:CL P:20912 V:14000 D:3685 St:4 Tp:5 ZC:40008 SYN Miss:0 B:101 DC1:3683 IO:3000/3400/0000,CL,20912,14000,3685,4,5,40008,1,0,1,0,1,3683,12288,13312,0,,,,,,,,,,,,,,,,0,0,0,0,0,,
1773740942292,6.218,S:CL P:20992 V:14000 D:3690 St:2 Tp:5 ZC:41565 SYN Miss:0 B:011 DC1:3696 IO:3400/0000/3400,CL,20992,14000,3690,2,5,41565,1,0,0,1,1,3696,13312,0,13312,,,,,,,,,,,,,,,,0,0,0,0,0,,
1773740942790,6.716,S:CL P:21328 V:13968 D:3744 St:0 Tp:5 ZC:43130 SYN Miss:0 B:001 DC1:3746 IO:0000/3400/3000,CL,21328,13968,3744,0,5,43130,1,0,0,0,1,3746,0,13312,12288,,,,,,,,,,,,,,,,0,0,0,0,0,,
1773740943288,7.214,S:CL P:21760 V:13984 D:3805 St:2 Tp:5 ZC:44710 SYN Miss:0 B:010 DC1:3794 IO:3400/0000/3400,CL,21760,13984,3805,2,5,44710,1,0,0,1,0,3794,13312,0,13312,,,,,,,,,,,,,,,,0,0,0,0,0,,
1773740943786,7.712,S:CL P:21920 V:13968 D:3826 St:2 Tp:5 ZC:46306 SYN Miss:0 B:011 DC1:3826 IO:3400/0000/3400,CL,21920,13968,3826,2,5,46306,1,0,0,1,1,3826,13312,0,13312,,,,,,,,,,,,,,,,0,0,0,0,0,,
1773740944284,8.21,S:CL P:22112 V:13968 D:3853 St:1 Tp:5 ZC:47907 SYN Miss:0 B:000 DC1:3858 IO:3000/0000/3400,CL,22112,13968,3853,1,5,47907,1,0,0,0,0,3858,12288,0,13312,,,,,,,,,,,,,,,,0,0,0,0,0,,
1773740944782,8.708,S:CL P:22576 V:13920 D:3911 St:0 Tp:5 ZC:49520 SYN Miss:0 B:001 DC1:3921 IO:3000/3000/3000,CL,22576,13920,3911,0,5,49520,1,0,0,0,1,3921,12288,12288,12288,,,,,,,,,,,,,,,,0,0,0,0,0,,
1773740945280,9.206,S:CL P:23328 V:13904 D:4028 St:0 Tp:5 ZC:51164 SYN Miss:0 B:011 DC1:4026 IO:3000/0000/3400,CL,23328,13904,4028,0,5,51164,1,0,0,1,1,4026,12288,0,13312,,,,,,,,,,,,,,,,0,0,0,0,0,,
